,ACH-000706,ACH-000667,ACH-000314,ACH-000062,ACH-000710,ACH-000852,ACH-000675,ACH-000677,ACH-000893,ACH-000845,ACH-000851,ACH-000892,ACH-000029,ACH-000951,ACH-000774,ACH-000012,ACH-000787,ACH-000590,ACH-000343,ACH-000587,ACH-000578,ACH-000791,ACH-000030,ACH-000733,ACH-000900,ACH-000451,ACH-000109,ACH-000861,ACH-000875,ACH-000888,ACH-000447,ACH-000309,ACH-000731,ACH-000681,ACH-000482,ACH-000327
ACH-000706,1.0,0.04202250491377074,0.0362263176141887,0.016482033468678856,0.042435360010043874,0.03303341948908311,0.02275778103830425,0.03466084441500105,0.042289101386562306,0.023943310729786806,0.03980289726887724,0.023329217251680055,0.020749115909918472,0.029633896245284452,0.025892706041631408,0.012674247466556673,0.03532651795884821,0.03129125063462515,0.053582809959968204,0.02631127435405361,0.013932513128654608,0.019464188337940242,0.021713335628328046,0.02322136013959154,0.03258661222263971,0.021707408411782175,0.021137794179463803,0.03270139462883953,0.02491658071952921,0.019521370562891605,0.027070070566909084,0.054658766573936916,0.020366340120189116,0.04007862158763922,0.031160336335454227,0.0407500557129668
ACH-000667,0.04202250491377074,1.0,0.05246991578268275,0.012768402460045541,0.08382082303017271,0.06310786514638067,0.0490814911262702,0.06915530031107921,0.06553743851421544,0.03803237466603803,0.06322938508190833,0.05176251199375278,0.04253053017203591,0.04118668839864405,0.046599090764125196,0.023462446202970985,0.06433277987684503,0.0710392761950227,0.0948182009042879,0.07453608207822937,0.05745541459827174,0.06265664160401002,0.03349117063030874,0.03486767695864304,0.05597346044341802,0.03609384086394168,0.037620384074075905,0.03514137559077972,0.050374363581910754,0.04011339148872423,0.047587740753060576,0.17366921086251516,0.04522527143712063,0.05711491927307465,0.06727575672543545,0.08717586044318718
ACH-000314,0.0362263176141887,0.05246991578268275,1.0,0.01580222527430132,0.049126817792004694,0.05057311268475108,0.02886450871323303,0.02677765147088508,0.03784611322702742,0.0234721146533258,0.07197550234133163,0.027015222523225,0.03019887758538832,0.04213763712939688,0.03632861846196139,0.01733553584526532,0.035467960447103215,0.044632370213765565,0.062271338233424525,0.022163216873208602,0.017650011836058348,0.024147534092454532,0.021731592558524804,0.035863235898953016,0.04593990699423469,0.02122655526970461,0.027152122958969408,0.03302400975091808,0.027956174292286622,0.026523159715548722,0.033215091448273906,0.0866593819036986,0.031093786177081237,0.028900666925899664,0.03331792832532618,0.06231134741381115
ACH-000062,0.016482033468678856,0.012768402460045541,0.01580222527430132,1.0,0.013779153538008454,0.017384112772488254,0.008969066685564454,0.01762461944760298,0.016193767389337487,0.010623690106236901,0.015184154936941837,0.01665232716272099,0.009589923925073903,0.009012012184608311,0.01195453210096947,0.007192866719158988,0.010642041177048214,0.005843684637384215,0.021658023507226114,0.007854649317676928,0.010173886086294845,0.006915097963887821,0.020783798613304958,0.006782342243591341,0.01497973263687075,0.01618884296309325,0.01254755678931258,0.019522564831184044,0.006629022632327963,0.009737168575632555,0.01591632783030422,0.0158779627655212,0.00849178995924465,0.008579744807590339,0.01205629844845858,0.010536966105369661
ACH-000710,0.042435360010043874,0.08382082303017271,0.049126817792004694,0.013779153538008454,1.0,0.06984595519274554,0.05749557736453046,0.0771809154231025,0.05347182772569862,0.04411596257239607,0.07274684202566159,0.04306640383362338,0.034107610510406734,0.051681554990008025,0.040336662122321246,0.029752154967967976,0.0599252940089297,0.07490581116565818,0.08739715637062839,0.04506657635489098,0.034843256643690486,0.04422276769291269,0.03267384461826573,0.042762061996105806,0.061414980697059356,0.043915357743337775,0.04538925860589477,0.040231681885428985,0.04469501630308736,0.04681493802497292,0.05999359431641165,0.12011991518194448,0.04984870140238417,0.05431375244328068,0.06866589052099663,0.07541182534739374
ACH-000852,0.03303341948908311,0.06310786514638067,0.05057311268475108,0.017384112772488254,0.06984595519274554,1.0,0.04835761429931809,0.05005863590783682,0.04202779928783894,0.03000621369916022,0.05646777338807717,0.038901582212010406,0.04120945108162907,0.04819305985849852,0.03227911944460927,0.02051334304055009,0.04954980005156698,0.053272414406930514,0.054315866650931674,0.03707705950243081,0.02491805704883495,0.0406274517560342,0.04407115690318008,0.029581632299694873,0.0381950476199359,0.0382590112422633,0.02802410980719428,0.04024618436019037,0.03630356015967894,0.03477102281082478,0.0463442869789578,0.10646922463042956,0.03910666539826215,0.03973067962619949,0.038668017824990665,0.0760389342203668
ACH-000675,0.02275778103830425,0.0490814911262702,0.02886450871323303,0.008969066685564454,0.05749557736453046,0.04835761429931809,1.0,0.032498658340244915,0.06193052778255322,0.02423179211124996,0.04140470692964642,0.038398119778015674,0.03581611165980284,0.03822337741762862,0.030779404250202893,0.017337031900138695,0.0411913883930515,0.04650116391301879,0.05734966592427617,0.02446611535362063,0.03544485886718896,0.03330104184409243,0.02289238560718314,0.0366335034295371,0.03293641630104115,0.03222842827621164,0.034821237245949196,0.029544569310001587,0.02423520791353728,0.047854548012842654,0.031473577897960514,0.09741736664121305,0.030854002893447908,0.03218926786812923,0.033974643247438194,0.061371719696241465
ACH-000677,0.03466084441500105,0.06915530031107921,0.02677765147088508,0.01762461944760298,0.0771809154231025,0.05005863590783682,0.032498658340244915,1.0,0.045438047647370125,0.02463016402142727,0.054950012718799346,0.03487653731267236,0.025087047521677484,0.030641395956158748,0.03921309333042924,0.017946877243359655,0.06093246501566127,0.03951923359487496,0.06527067408311044,0.04659910223052019,0.026738421838924352,0.025573775309295013,0.0303596570552077,0.03349726447939355,0.03623209116939402,0.027812254041290792,0.03226872904420234,0.03606628984446751,0.03186372112132992,0.021889751789249276,0.04425483120299484,0.10845237423070409,0.04420667069639039,0.03970587093116277,0.04308860780247076,0.059655953032489176
ACH-000893,0.042289101386562306,0.06553743851421544,0.03784611322702742,0.016193767389337487,0.05347182772569862,0.04202779928783894,0.06193052778255322,0.045438047647370125,1.0,0.027614504227682787,0.049157447141836036,0.04264130394981319,0.03556319573263117,0.0496070330444482,0.0436783532758765,0.021041248345963336,0.03811554712281479,0.05085593760729877,0.06801486995020518,0.026966246606426516,0.01835326206248853,0.03754571268182883,0.029559683004031445,0.02687753070241007,0.040898581425629174,0.025181808314338434,0.023166249206879146,0.029518271666142754,0.039688875602994014,0.035485942532419296,0.03831070135166409,0.1013644407677728,0.03968135782659401,0.034606636695854835,0.03196508090472201,0.05721074437359859
ACH-000845,0.023943310729786806,0.03803237466603803,0.0234721146533258,0.010623690106236901,0.04411596257239607,0.03000621369916022,0.02423179211124996,0.02463016402142727,0.027614504227682787,1.0,0.027879435508020717,0.019678583827964547,0.02288376630369371,0.024032639484420883,0.030349242354576016,0.015087223008015087,0.03625923130429635,0.030640958832725378,0.03653333039317295,0.019335629215095424,0.028148374683028148,0.02972468299461525,0.020031274198034837,0.03104619335653702,0.0315630322080812,0.021206939971105544,0.022693271024895358,0.025510129021817485,0.02697552774145339,0.025830843953960615,0.01915741909761446,0.056101902325063964,0.030822830936594558,0.017149473834555017,0.02691949455957015,0.03874783517955756
ACH-000851,0.03980289726887724,0.06322938508190833,0.07197550234133163,0.015184154936941837,0.07274684202566159,0.05646777338807717,0.04140470692964642,0.054950012718799346,0.049157447141836036,0.027879435508020717,1.0,0.03623001562796958,0.04693054096614585,0.05604990636915371,0.028978564733086718,0.02408380462295438,0.059132220608957474,0.055551645749202676,0.08102054230668598,0.05391085389839594,0.037704712489812775,0.034418863140021336,0.028274732232019893,0.0471035397739682,0.048678007484821456,0.03291293157347633,0.04741658193918107,0.04296717005070739,0.04709952965345732,0.02793727734552451,0.042465850015704826,0.1101107498148804,0.04280675401549096,0.03233497045359598,0.053325667525174855,0.08285435993456079
ACH-000892,0.023329217251680055,0.05176251199375278,0.027015222523225,0.01665232716272099,0.04306640383362338,0.038901582212010406,0.038398119778015674,0.03487653731267236,0.04264130394981319,0.019678583827964547,0.03623001562796958,1.0,0.03217221439709635,0.041125515204135606,0.02920183482638603,0.019691309440669262,0.03282806754306695,0.028640888236645692,0.05533208566565329,0.01809715605384311,0.02853913120072816,0.022420859923361423,0.022357529931778353,0.02522742314330578,0.041527570799632485,0.03365807972065703,0.022387626124061533,0.027118797281340572,0.022957170528732335,0.041686496307094756,0.03576866477828532,0.0756725196166389,0.041470124444505124,0.026359349870612732,0.02279507998436909,0.05963683820853568
ACH-000029,0.020749115909918472,0.04253053017203591,0.03019887758538832,0.009589923925073903,0.034107610510406734,0.04120945108162907,0.03581611165980284,0.025087047521677484,0.03556319573263117,0.02288376630369371,0.04693054096614585,0.03217221439709635,1.0,0.032658273761845026,0.02514811359436188,0.0652703088364493,0.031504178752485304,0.027659359531265783,0.051351050959906636,0.03210608968766358,0.019745959285306695,0.035199964081669304,0.023942042418863323,0.028328955212147813,0.023582443276889763,0.023448881899960687,0.03258719518752302,0.023617286450505228,0.02816064896968819,0.020941282979169987,0.03772043952646562,0.07122107442472342,0.04019338587235568,0.027912675362740183,0.028258493986655104,0.032612455103475796
ACH-000951,0.029633896245284452,0.04118668839864405,0.04213763712939688,0.009012012184608311,0.051681554990008025,0.04819305985849852,0.03822337741762862,0.030641395956158748,0.0496070330444482,0.024032639484420883,0.05604990636915371,0.041125515204135606,0.032658273761845026,1.0,0.027060529972453135,0.015061637703450334,0.04710373927474312,0.03757793433715522,0.03649053890535398,0.02836046185926364,0.02262487459337853,0.03326886770732606,0.028475597725682922,0.026336298406385208,0.03763974952975759,0.03324320905669924,0.02810716147748085,0.035016555322858044,0.03651166245728718,0.02428495845133983,0.033487290598742274,0.08681279306378838,0.02931339148136106,0.02088500529396731,0.0332956545195309,0.04528026818429874
ACH-000774,0.025892706041631408,0.046599090764125196,0.03632861846196139,0.01195453210096947,0.040336662122321246,0.03227911944460927,0.030779404250202893,0.03921309333042924,0.0436783532758765,0.030349242354576016,0.028978564733086718,0.02920183482638603,0.02514811359436188,0.027060529972453135,1.0,0.01679318343878905,0.02843299226700357,0.051710028425035755,0.06354678783950575,0.021075270133016803,0.02261914723215033,0.030452809009106876,0.028561958292488556,0.024854975221631673,0.035064240685660865,0.029247019035895907,0.0232224424038224,0.02075867494100166,0.026200907373873084,0.018021104843018963,0.03675483616265298,0.11145858698298954,0.046247867000906,0.02739244237514415,0.04137394633306229,0.05650001532661006
ACH-000012,0.012674247466556673,0.023462446202970985,0.01733553584526532,0.007192866719158988,0.029752154967967976,0.02051334304055009,0.017337031900138695,0.017946877243359655,0.021041248345963336,0.015087223008015087,0.02408380462295438,0.019691309440669262,0.0652703088364493,0.015061637703450334,0.01679318343878905,1.0,0.028879969668841272,0.02128109389119056,0.03857292201003851,0.0350545638921859,0.01407071377916859,0.014837263226092441,0.019365507348399823,0.01397526343545707,0.015198338162270375,0.017709321250014634,0.01781940037717731,0.013104371445033118,0.016957295047399012,0.009990896415031286,0.02380887158314908,0.041407606381236285,0.024920047526576672,0.01788474276882314,0.034362381634079876,0.027722772277227723
ACH-000787,0.03532651795884821,0.06433277987684503,0.035467960447103215,0.010642041177048214,0.0599252940089297,0.04954980005156698,0.0411913883930515,0.06093246501566127,0.03811554712281479,0.03625923130429635,0.059132220608957474,0.03282806754306695,0.031504178752485304,0.04710373927474312,0.02843299226700357,0.028879969668841272,1.0,0.0448758293341725,0.0648975800733069,0.039782697318279304,0.03601511505098949,0.032584965777672885,0.03495765958098818,0.03538468602213073,0.03673234681716371,0.03405775568642282,0.03266347918110044,0.05159949093477435,0.03431762416448092,0.029783110890539238,0.04247148403406868,0.10587242404393611,0.03506935778634743,0.046036900215551596,0.04450654357383741,0.058717755183590105
ACH-000590,0.03129125063462515,0.0710392761950227,0.044632370213765565,0.005843684637384215,0.07490581116565818,0.053272414406930514,0.04650116391301879,0.03951923359487496,0.05085593760729877,0.030640958832725378,0.055551645749202676,0.028640888236645692,0.027659359531265783,0.03757793433715522,0.051710028425035755,0.02128109389119056,0.0448758293341725,1.0,0.07010250198622019,0.02500057786098976,0.037573663889453365,0.04002770083102493,0.031075410622227552,0.02117438077560226,0.0325308272404555,0.02589304586768125,0.03253407996505128,0.03603659967154141,0.03580271433300232,0.024077541240012636,0.04222457710271204,0.15392338524213153,0.05997249257194452,0.033435469146849604,0.03793251481068086,0.09208963001563314
ACH-000343,0.053582809959968204,0.0948182009042879,0.062271338233424525,0.021658023507226114,0.08739715637062839,0.054315866650931674,0.05734966592427617,0.06527067408311044,0.06801486995020518,0.03653333039317295,0.08102054230668598,0.05533208566565329,0.051351050959906636,0.03649053890535398,0.06354678783950575,0.03857292201003851,0.0648975800733069,0.07010250198622019,1.0,0.05287331531642561,0.04457782631502008,0.042200666849008195,0.0455479399932018,0.04925811625379113,0.062518569359003,0.05582239872630835,0.03445687643924813,0.042890425148174746,0.04143939712288664,0.04042947143557195,0.05115768075215617,0.1423444108005305,0.06405817036062585,0.0480012254606665,0.062173690310532374,0.08398862157930716
ACH-000587,0.02631127435405361,0.07453608207822937,0.022163216873208602,0.007854649317676928,0.04506657635489098,0.03707705950243081,0.02446611535362063,0.04659910223052019,0.026966246606426516,0.019335629215095424,0.05391085389839594,0.01809715605384311,0.03210608968766358,0.02836046185926364,0.021075270133016803,0.0350545638921859,0.039782697318279304,0.02500057786098976,0.05287331531642561,1.0,0.043680467593511074,0.017578531308508425,0.031764610550388504,0.014690606914972548,0.01962795982849038,0.02935060399701573,0.03092264640947006,0.024854788599216533,0.023874512143585155,0.0315059861373661,0.03756532350054381,0.0750544033396989,0.04138488940612116,0.04181353892394817,0.045654430681737586,0.03461237428090635
ACH-000578,0.013932513128654608,0.05745541459827174,0.017650011836058348,0.010173886086294845,0.034843256643690486,0.02491805704883495,0.03544485886718896,0.026738421838924352,0.01835326206248853,0.028148374683028148,0.037704712489812775,0.02853913120072816,0.019745959285306695,0.02262487459337853,0.02261914723215033,0.01407071377916859,0.03601511505098949,0.037573663889453365,0.04457782631502008,0.043680467593511074,1.0,0.03353259274311906,0.02473593020290059,0.022694927985030373,0.02285658387002751,0.02419329828968383,0.0411141192125912,0.024279001990740474,0.02477113231830213,0.02698378785335307,0.0291155969008318,0.057372782091883213,0.04347615119607938,0.025254665131017526,0.0423765643994029,0.038000305822088
ACH-000791,0.019464188337940242,0.06265664160401002,0.024147534092454532,0.006915097963887821,0.04422276769291269,0.0406274517560342,0.03330104184409243,0.025573775309295013,0.03754571268182883,0.02972468299461525,0.034418863140021336,0.022420859923361423,0.035199964081669304,0.03326886770732606,0.030452809009106876,0.014837263226092441,0.032584965777672885,0.04002770083102493,0.042200666849008195,0.017578531308508425,0.03353259274311906,1.0,0.015399166100520854,0.023960641079376486,0.030057693354378707,0.017405880833274618,0.03816558941212681,0.01798919041039945,0.04137702747434624,0.022053101572552372,0.04898936378978767,0.0779157631907484,0.03654708284775374,0.033083416940083335,0.027818322314759166,0.044838168027329046
ACH-000030,0.021713335628328046,0.03349117063030874,0.021731592558524804,0.020783798613304958,0.03267384461826573,0.04407115690318008,0.02289238560718314,0.0303596570552077,0.029559683004031445,0.020031274198034837,0.028274732232019893,0.022357529931778353,0.023942042418863323,0.028475597725682922,0.028561958292488556,0.019365507348399823,0.03495765958098818,0.031075410622227552,0.0455479399932018,0.031764610550388504,0.02473593020290059,0.015399166100520854,1.0,0.01850700086296034,0.024029888366198442,0.014861267393034552,0.026642585595445738,0.021123924087907475,0.027518230397845303,0.016434524506228974,0.04625827460213114,0.05483478795014205,0.02362149981801303,0.021972798935334978,0.02877665761202793,0.02679582309028169
ACH-000733,0.02322136013959154,0.03486767695864304,0.035863235898953016,0.006782342243591341,0.042762061996105806,0.029581632299694873,0.0366335034295371,0.03349726447939355,0.02687753070241007,0.03104619335653702,0.0471035397739682,0.02522742314330578,0.028328955212147813,0.026336298406385208,0.024854975221631673,0.01397526343545707,0.03538468602213073,0.02117438077560226,0.04925811625379113,0.014690606914972548,0.022694927985030373,0.023960641079376486,0.01850700086296034,1.0,0.020204284035280292,0.013600476993297422,0.031336736645091755,0.022884136539056438,0.025037027496941207,0.018618444423460005,0.023366241381679913,0.05991870230471297,0.025370555327479612,0.020425065015218572,0.024077301248823835,0.03651032338728753
ACH-000900,0.03258661222263971,0.05597346044341802,0.04593990699423469,0.01497973263687075,0.061414980697059356,0.0381950476199359,0.03293641630104115,0.03623209116939402,0.040898581425629174,0.0315630322080812,0.048678007484821456,0.041527570799632485,0.023582443276889763,0.03763974952975759,0.035064240685660865,0.015198338162270375,0.03673234681716371,0.0325308272404555,0.062518569359003,0.01962795982849038,0.02285658387002751,0.030057693354378707,0.024029888366198442,0.020204284035280292,1.0,0.026515576265766273,0.02486292122205972,0.02103440274988437,0.03125142273646693,0.02708756555256263,0.03207040386443925,0.08746151075375017,0.0338365338021867,0.04457611216512773,0.04372852248170035,0.05137456868747888
ACH-000451,0.021707408411782175,0.03609384086394168,0.02122655526970461,0.01618884296309325,0.043915357743337775,0.0382590112422633,0.03222842827621164,0.027812254041290792,0.025181808314338434,0.021206939971105544,0.03291293157347633,0.03365807972065703,0.023448881899960687,0.03324320905669924,0.029247019035895907,0.017709321250014634,0.03405775568642282,0.02589304586768125,0.05582239872630835,0.02935060399701573,0.02419329828968383,0.017405880833274618,0.014861267393034552,0.013600476993297422,0.026515576265766273,1.0,0.0361684428716564,0.03480191195689146,0.021378596145588645,0.02387679836605976,0.021349828845583677,0.05263300392581562,0.022499333059346902,0.02086863683481996,0.03408085850743922,0.03516839635770806
ACH-000109,0.021137794179463803,0.037620384074075905,0.027152122958969408,0.01254755678931258,0.04538925860589477,0.02802410980719428,0.034821237245949196,0.03226872904420234,0.023166249206879146,0.022693271024895358,0.04741658193918107,0.022387626124061533,0.03258719518752302,0.02810716147748085,0.0232224424038224,0.01781940037717731,0.03266347918110044,0.03253407996505128,0.03445687643924813,0.03092264640947006,0.0411141192125912,0.03816558941212681,0.026642585595445738,0.031336736645091755,0.02486292122205972,0.0361684428716564,1.0,0.02276757896755021,0.025840621029140105,0.01893296290579822,0.036756645890543636,0.07477919154537303,0.03621450104092687,0.023682504861145735,0.03856454797995884,0.02711257543411387
ACH-000861,0.03270139462883953,0.03514137559077972,0.03302400975091808,0.019522564831184044,0.040231681885428985,0.04024618436019037,0.029544569310001587,0.03606628984446751,0.029518271666142754,0.025510129021817485,0.04296717005070739,0.027118797281340572,0.023617286450505228,0.035016555322858044,0.02075867494100166,0.013104371445033118,0.05159949093477435,0.03603659967154141,0.042890425148174746,0.024854788599216533,0.024279001990740474,0.01798919041039945,0.021123924087907475,0.022884136539056438,0.02103440274988437,0.03480191195689146,0.02276757896755021,1.0,0.02691412711317951,0.025442094568007095,0.021572244881677752,0.07264554151293053,0.030541987563390164,0.022965751175272317,0.03548911765632688,0.040539626027981696
ACH-000875,0.02491658071952921,0.050374363581910754,0.027956174292286622,0.006629022632327963,0.04469501630308736,0.03630356015967894,0.02423520791353728,0.03186372112132992,0.039688875602994014,0.02697552774145339,0.04709952965345732,0.022957170528732335,0.02816064896968819,0.03651166245728718,0.026200907373873084,0.016957295047399012,0.03431762416448092,0.03580271433300232,0.04143939712288664,0.023874512143585155,0.02477113231830213,0.04137702747434624,0.027518230397845303,0.025037027496941207,0.03125142273646693,0.021378596145588645,0.025840621029140105,0.02691412711317951,1.0,0.02386456857334626,0.03549871259127939,0.08217157798035475,0.0258550410442284,0.01867156591136644,0.02620168877671417,0.04448720343732487
ACH-000888,0.019521370562891605,0.04011339148872423,0.026523159715548722,0.009737168575632555,0.04681493802497292,0.03477102281082478,0.047854548012842654,0.021889751789249276,0.035485942532419296,0.025830843953960615,0.02793727734552451,0.041686496307094756,0.020941282979169987,0.02428495845133983,0.018021104843018963,0.009990896415031286,0.029783110890539238,0.024077541240012636,0.04042947143557195,0.0315059861373661,0.02698378785335307,0.022053101572552372,0.016434524506228974,0.018618444423460005,0.02708756555256263,0.02387679836605976,0.01893296290579822,0.025442094568007095,0.02386456857334626,1.0,0.026322165335879954,0.051979245310950245,0.02967147077677091,0.030808046868795475,0.024149574330438222,0.03465868325963031
ACH-000447,0.027070070566909084,0.047587740753060576,0.033215091448273906,0.01591632783030422,0.05999359431641165,0.0463442869789578,0.031473577897960514,0.04425483120299484,0.03831070135166409,0.01915741909761446,0.042465850015704826,0.03576866477828532,0.03772043952646562,0.033487290598742274,0.03675483616265298,0.02380887158314908,0.04247148403406868,0.04222457710271204,0.05115768075215617,0.03756532350054381,0.0291155969008318,0.04898936378978767,0.04625827460213114,0.023366241381679913,0.03207040386443925,0.021349828845583677,0.036756645890543636,0.021572244881677752,0.03549871259127939,0.026322165335879954,1.0,0.10101500640977303,0.03886833829359103,0.024198417061709696,0.03100824419457613,0.047976609741511064
ACH-000309,0.054658766573936916,0.17366921086251516,0.0866593819036986,0.0158779627655212,0.12011991518194448,0.10646922463042956,0.09741736664121305,0.10845237423070409,0.1013644407677728,0.056101902325063964,0.1101107498148804,0.0756725196166389,0.07122107442472342,0.08681279306378838,0.11145858698298954,0.041407606381236285,0.10587242404393611,0.15392338524213153,0.1423444108005305,0.0750544033396989,0.057372782091883213,0.0779157631907484,0.05483478795014205,0.05991870230471297,0.08746151075375017,0.05263300392581562,0.07477919154537303,0.07264554151293053,0.08217157798035475,0.051979245310950245,0.10101500640977303,1.0,0.11935529421257539,0.08561207300765851,0.08581483585974302,0.1634019356991879
ACH-000731,0.020366340120189116,0.04522527143712063,0.031093786177081237,0.00849178995924465,0.04984870140238417,0.03910666539826215,0.030854002893447908,0.04420667069639039,0.03968135782659401,0.030822830936594558,0.04280675401549096,0.041470124444505124,0.04019338587235568,0.02931339148136106,0.046247867000906,0.024920047526576672,0.03506935778634743,0.05997249257194452,0.06405817036062585,0.04138488940612116,0.04347615119607938,0.03654708284775374,0.02362149981801303,0.025370555327479612,0.0338365338021867,0.022499333059346902,0.03621450104092687,0.030541987563390164,0.0258550410442284,0.02967147077677091,0.03886833829359103,0.11935529421257539,1.0,0.037985010225346096,0.03543804053994687,0.05197753168494587
ACH-000681,0.04007862158763922,0.05711491927307465,0.028900666925899664,0.008579744807590339,0.05431375244328068,0.03973067962619949,0.03218926786812923,0.03970587093116277,0.034606636695854835,0.017149473834555017,0.03233497045359598,0.026359349870612732,0.027912675362740183,0.02088500529396731,0.02739244237514415,0.01788474276882314,0.046036900215551596,0.033435469146849604,0.0480012254606665,0.04181353892394817,0.025254665131017526,0.033083416940083335,0.021972798935334978,0.020425065015218572,0.04457611216512773,0.02086863683481996,0.023682504861145735,0.022965751175272317,0.01867156591136644,0.030808046868795475,0.024198417061709696,0.08561207300765851,0.037985010225346096,1.0,0.03752795560385365,0.062442040185471406
ACH-000482,0.031160336335454227,0.06727575672543545,0.03331792832532618,0.01205629844845858,0.06866589052099663,0.038668017824990665,0.033974643247438194,0.04308860780247076,0.03196508090472201,0.02691949455957015,0.053325667525174855,0.02279507998436909,0.028258493986655104,0.0332956545195309,0.04137394633306229,0.034362381634079876,0.04450654357383741,0.03793251481068086,0.062173690310532374,0.045654430681737586,0.0423765643994029,0.027818322314759166,0.02877665761202793,0.024077301248823835,0.04372852248170035,0.03408085850743922,0.03856454797995884,0.03548911765632688,0.02620168877671417,0.024149574330438222,0.03100824419457613,0.08581483585974302,0.03543804053994687,0.03752795560385365,1.0,0.0535008802674721
ACH-000327,0.0407500557129668,0.08717586044318718,0.06231134741381115,0.010536966105369661,0.07541182534739374,0.0760389342203668,0.061371719696241465,0.059655953032489176,0.05721074437359859,0.03874783517955756,0.08285435993456079,0.05963683820853568,0.032612455103475796,0.04528026818429874,0.05650001532661006,0.027722772277227723,0.058717755183590105,0.09208963001563314,0.08398862157930716,0.03461237428090635,0.038000305822088,0.044838168027329046,0.02679582309028169,0.03651032338728753,0.05137456868747888,0.03516839635770806,0.02711257543411387,0.040539626027981696,0.04448720343732487,0.03465868325963031,0.047976609741511064,0.1634019356991879,0.05197753168494587,0.062442040185471406,0.0535008802674721,1.0
